scorer,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel
labeled-data/montblanccropped/img0071c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c7.png,,,,,,,,,209.51,250.33999999999997,218.46000000000004,255.81,222.36,250.33999999999997,200.87,257.61,297.1,217.11,306.48,221.48000000000002,313.73,214.69,286.5,224.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c8.png,183.06,134.43,199.70999999999998,136.92000000000002,198.82999999999998,130.33999999999997,179.99,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c0.png,,,,,,,,,314.33000000000004,260.87,342.88,263.15,327.22,258.98,322.95000000000005,263.54,334.34000000000003,204.95,358.78999999999996,210.02999999999997,346.69000000000005,205.79000000000002,347.04999999999995,210.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.3599999999999,365.14,279.1700000000001,351.76,271.05999999999995,361.45000000000005,263.78999999999996,358.4,,,,,,,,,127.98000000000002,380.84000000000003,140.26999999999998,388.38,133.78999999999996,385.71000000000004,126.65000000000009,387.38,,,,,,,,
labeled-data/montblanccropped/img0128c2.png,,,,,,,,,238.33000000000004,199.87,266.88,202.14999999999998,251.22000000000003,197.98000000000002,246.95000000000005,202.54000000000002,258.34000000000003,143.95,282.78999999999996,149.02999999999997,270.69000000000005,144.79000000000002,271.04999999999995,149.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c3.png,,,,,,,,,196.33000000000004,56.870000000000005,224.88,59.14999999999998,209.22000000000003,54.98000000000002,204.95000000000005,59.54000000000002,216.34000000000003,0.9499999999999886,240.78999999999996,6.029999999999973,228.69000000000005,1.7900000000000205,229.04999999999995,6.8799999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c5.png,32.209999999999994,215.93,53.50999999999999,221.89,41.760000000000005,216.54000000000002,36.59,212.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0128c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c0.png,,,,,,,,,,,,,,,,,,,5.850000000000023,165.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c1.png,,,,,,,,,262.24,122.37,293.32000000000005,125.44,270.01,116.03,278.19000000000005,124.21000000000001,306.40999999999997,151.2,335.85,150.38,323.16999999999996,162.86,306.20000000000005,142.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c2.png,125.93,271.28,155.20999999999998,277.49,136.57,276.97,135.73000000000002,271.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c4.png,207.93,14.279999999999973,237.20999999999998,20.49000000000001,218.57,19.970000000000027,217.73000000000002,14.170000000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0166c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c0.png,,,,,,,,,,,,,,,,,55.16999999999996,302.77,78.30999999999995,302.77,76.08000000000004,306.95000000000005,40.66999999999996,293.84000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c1.png,,,,,,,,,258.26,382.69000000000005,280.28,394.96000000000004,285.02,385.48,255.47000000000003,372.65,,,,,,,351.66999999999996,393.84000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c2.png,86.44999999999999,227.75,114.24000000000001,233.26,75.68,219.11,101.83999999999997,233.13,314.26,128.69000000000005,336.28,140.96000000000004,341.02,131.48000000000002,311.47,118.64999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c3.png,220.45,216.75,248.24,222.26,209.68,208.11,235.83999999999997,222.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c4.png,285.45,99.75,313.24,105.25999999999999,274.68,91.11000000000001,300.84,105.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c5.png,103.44999999999999,257.75,131.24,263.26,92.68,249.11,118.83999999999997,263.13,331.26,158.69000000000005,353.28,170.96000000000004,358.02,161.48000000000002,328.47,148.64999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0210c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c0.png,138.18,147.01,153.07999999999998,152.75,162.94,151.14,129.45999999999998,134.16999999999996,317.26,76.42999999999995,341.23,87.16999999999996,346.6,82.21000000000004,310.24,63.89999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c1.png,180.18,317.01,195.07999999999998,322.75,204.94,321.14,171.45999999999998,304.16999999999996,359.26,246.42999999999995,383.23,257.16999999999996,388.6,252.21000000000004,352.24,233.89999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c2.png,160.18,11.009999999999991,175.07999999999998,16.75,184.94,15.139999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c3.png,,,,,,,,,,,,,,,,,106.97000000000003,46.960000000000036,137.34000000000003,56.82000000000005,140.53999999999996,47.75999999999999,93.11000000000001,37.10000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c4.png,,,,,,,,,,,,,,,,,27.970000000000027,27.960000000000036,58.34000000000003,37.82000000000005,61.539999999999964,28.75999999999999,14.110000000000014,18.100000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c7.png,74.18,154.01,89.07999999999998,159.75,98.94,158.14,65.45999999999998,141.16999999999996,253.26,83.42999999999995,277.23,94.16999999999996,282.6,89.21000000000004,246.24,70.89999999999998,392.97,125.96000000000004,,,,,379.11,116.10000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0221c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c0.png,370.75,44.85000000000002,397.53999999999996,58.960000000000036,,,344.38,41.58000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c1.png,,,,,,,,,202.32000000000005,206.61,237.82000000000005,230.62,244.17999999999995,212.79000000000002,185.89999999999998,218.07999999999998,242.77999999999997,115.54000000000002,286.20000000000005,132.49,285.9,142.89999999999998,226.26999999999998,122.23000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c2.png,168.75,100.85000000000002,195.53999999999996,114.96000000000004,205.36,106.77999999999997,142.38,97.58000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c3.png,197.75,286.85,224.53999999999996,300.96000000000004,234.36,292.78,171.38,283.58000000000004,122.32000000000005,20.610000000000014,157.82000000000005,44.620000000000005,164.17999999999995,26.79000000000002,105.89999999999998,32.079999999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c4.png,136.75,186.85000000000002,163.53999999999996,200.96000000000004,173.36,192.77999999999997,110.38,183.58000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c6.png,38.75,306.85,65.53999999999996,320.96000000000004,75.36000000000001,312.78,12.379999999999995,303.58000000000004,,,,,5.17999999999995,46.79000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c7.png,,,,,,,391.38,4.580000000000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0264c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c0.png,,,,,,,139.76999999999998,397.86,29.67999999999995,96.88999999999999,98.25,116.85000000000002,81.98000000000002,84.74000000000001,16.659999999999968,112.07999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c1.png,,,,,,,,,46.67999999999995,227.89,115.25,247.85000000000002,98.98000000000002,215.74,33.65999999999997,243.07999999999998,,,71.36000000000001,76.76999999999998,56.129999999999995,36.89999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c7.png,,,,,,,,,255.67999999999995,387.89,,,307.98,375.74,,,201.82000000000005,210.67000000000002,280.36,236.76999999999998,265.13,196.89999999999998,182.97000000000003,230.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0293c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c0.png,,,,,,,,,,,,,,,,,,,73.67000000000007,390.18,21.440000000000055,399.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c1.png,,,,,397.46000000000004,342.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c5.png,255.45000000000005,98.50999999999999,286.02,85.27999999999997,232.46000000000004,87.01999999999998,299.90999999999997,95.48000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c7.png,72.45000000000005,246.51,103.01999999999998,233.27999999999997,49.460000000000036,235.01999999999998,116.90999999999997,243.48000000000002,,,,,390.78,206.57999999999998,,,251.1500000000001,201.82999999999998,272.6700000000001,185.18,220.44000000000005,194.55,290.02,198.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c8.png,,,,,,,,,211.6300000000001,182.49,245.1300000000001,167.22000000000003,190.77999999999997,176.57999999999998,254.0,180.51999999999998,51.15000000000009,171.82999999999998,72.67000000000007,155.18,20.440000000000055,164.55,90.01999999999998,168.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0365c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c0.png,,,,,,,,,179.76,247.36,207.47000000000003,242.95999999999998,157.26999999999998,249.60000000000002,207.3699999999999,237.33999999999997,42.00999999999999,240.88,57.47000000000003,229.92000000000002,17.839999999999918,239.43,75.51999999999998,233.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c1.png,,,,,,,,,148.76,247.36,176.47000000000003,242.95999999999998,126.26999999999998,249.60000000000002,176.3699999999999,237.33999999999997,11.009999999999991,240.88,26.470000000000027,229.92000000000002,,,44.51999999999998,233.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1499999999999773,349.42999999999995,9.589999999999975,361.82000000000005,,,10.149999999999977,354.61,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.15,396.42999999999995,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c4.png,,,,,,,,,155.76,155.36,183.47000000000003,150.95999999999998,133.26999999999998,157.60000000000002,183.3699999999999,145.33999999999997,18.00999999999999,148.88,33.47000000000003,137.92000000000002,,,51.51999999999998,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0382c6.png,260.65,98.07999999999998,274.5,91.48000000000002,232.94000000000005,89.06,293.19000000000005,94.54000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
